day,date,payables_amount,payroll_amount,capex_amount,tax_amount,other_outflows,total_outflows
1,2026-07-26,172929.92,0,0.0,0,68460.87,241390.79
2,2026-07-27,293313.02,0,0.0,0,57468.94,350781.97
3,2026-07-28,0.0,0,0.0,0,41230.01,41230.01
4,2026-07-29,137008.43,0,88758.53,0,79035.57,304802.53
5,2026-07-30,0.0,200000,0.0,0,0.0,200000.0
6,2026-07-31,229416.3,0,0.0,0,0.0,229416.3
7,2026-08-01,108697.11,0,0.0,250000,79045.58,437742.7
8,2026-08-02,249705.21,0,111087.25,0,57969.39,418761.85
9,2026-08-03,0.0,0,102126.06,0,0.0,102126.06
10,2026-08-04,115493.67,0,0.0,0,0.0,115493.67
11,2026-08-05,266049.44,0,0.0,0,69311.32,335360.76
12,2026-08-06,144779.97,200000,0.0,0,79752.3,424532.27
13,2026-08-07,289548.91,0,0.0,0,0.0,289548.91
14,2026-08-08,262944.92,500000,0.0,0,0.0,762944.92
15,2026-08-09,145417.01,0,0.0,0,40092.2,185509.21
16,2026-08-10,0.0,0,112086.42,0,0.0,112086.42
17,2026-08-11,0.0,0,0.0,0,65934.68,65934.68
18,2026-08-12,217350.17,0,103968.24,0,0.0,321318.41
19,2026-08-13,240831.6,200000,0.0,0,0.0,440831.6
20,2026-08-14,110849.83,0,0.0,0,79935.05,190784.88
21,2026-08-15,255027.59,0,0.0,250000,52497.39,557524.98
22,2026-08-16,0.0,0,0.0,0,0.0,0.0
23,2026-08-17,111908.67,0,64187.67,0,0.0,176096.33
24,2026-08-18,0.0,0,139040.53,0,0.0,139040.53
25,2026-08-19,297992.06,0,71800.78,0,51591.24,421384.09
26,2026-08-20,265900.22,200000,0.0,0,0.0,465900.22
27,2026-08-21,0.0,0,0.0,0,0.0,0.0
28,2026-08-22,152642.45,500000,0.0,0,48012.41,700654.86
29,2026-08-23,237651.69,0,0.0,0,0.0,237651.69
30,2026-08-24,0.0,0,87067.71,0,38021.44,125089.15
