payment_id,invoice_id,customer_id,payment_date,amount_paid,payment_type,days_late
17,INV-004665,11.0,2024-08-16,47510.4,invoice_payment,6.0
50,INV-007033,15.0,2024-08-20,60683.53,invoice_payment,8.0
38,INV-004401,36.0,2024-08-22,10550.99,invoice_payment,10.0
8,INV-007129,2.0,2024-08-22,16914.58,invoice_payment,13.0
43,INV-000587,25.0,2024-08-23,22644.21,invoice_payment,11.0
49,INV-007070,25.0,2024-08-25,13345.57,invoice_payment,13.0
91,INV-000235,8.0,2024-08-26,143695.78,invoice_payment,10.0
80,INV-003271,1.0,2024-08-27,10463.71,invoice_payment,12.0
65,INV-005485,1.0,2024-08-28,42901.41,invoice_payment,14.0
130,INV-006004,25.0,2024-08-30,22013.14,invoice_payment,11.0
99,INV-007341,5.0,2024-09-02,29808.87,invoice_payment,16.0
109,INV-003554,2.0,2024-09-02,7853.09,invoice_payment,16.0
4,INV-006218,133.0,2024-09-03,10301.65,invoice_payment,25.0
77,INV-004590,10.0,2024-09-03,13072.57,invoice_payment,4.0
2,INV-000881,2.0,2024-09-03,29470.42,invoice_payment,10.0
217,INV-002961,4.0,2024-09-03,38306.44,invoice_payment,8.0
19,INV-006321,16.0,2024-09-04,43530.36,invoice_payment,10.0
78,INV-001578,67.0,2024-09-04,41406.47,invoice_payment,20.0
213,INV-007069,18.0,2024-09-04,49625.95,invoice_payment,9.0
154,INV-003970,12.0,2024-09-04,8383.13,invoice_payment,14.0
194,INV-007173,61.0,2024-09-04,40513.69,invoice_payment,12.0
22,INV-005650,19.0,2024-09-05,7846.61,invoice_payment,11.0
197,INV-003636,1.0,2024-09-05,41105.48,invoice_payment,12.0
195,INV-000222,1.0,2024-09-08,16559.77,invoice_payment,15.0
102,INV-000178,17.0,2024-09-09,8668.69,invoice_payment,8.0
51,INV-003098,3.0,2024-09-09,44912.03,invoice_payment,13.0
64,INV-005026,1.0,2024-09-09,32413.02,invoice_payment,11.0
254,INV-005852,2.0,2024-09-09,41238.11,invoice_payment,11.0
61,INV-000368,139.0,2024-09-09,346996.69,invoice_payment,27.0
147,INV-006049,121.0,2024-09-10,9868.07,invoice_payment,21.0
34,INV-005765,1.0,2024-09-10,33081.9,invoice_payment,15.0
152,INV-007290,2.0,2024-09-11,44398.56,invoice_payment,7.0
101,INV-006114,3.0,2024-09-11,23163.13,invoice_payment,10.0
69,INV-005955,2.0,2024-09-11,44941.58,invoice_payment,13.0
366,INV-002179,27.0,2024-09-12,15989.2,invoice_payment,5.0
133,INV-005005,7.0,2024-09-13,31339.75,invoice_payment,10.0
118,INV-004447,8.0,2024-09-13,45280.89,invoice_payment,11.0
36,INV-000912,13.0,2024-09-14,45979.92,invoice_payment,19.0
155,INV-003998,3.0,2024-09-14,46314.27,invoice_payment,9.0
106,INV-001165,136.0,2024-09-14,23202.1,invoice_payment,13.0
143,INV-002428,2.0,2024-09-15,65650.79,invoice_payment,11.0
310,INV-003959,7.0,2024-09-15,35582.02,invoice_payment,13.0
81,INV-006726,38.0,2024-09-15,8341.02,invoice_payment,31.0
120,INV-006540,1.0,2024-09-15,31166.16,invoice_payment,13.0
164,INV-001732,4.0,2024-09-15,341239.3,invoice_payment,10.0
18,INV-003416,136.0,2024-09-16,7907.21,invoice_payment,22.0
282,INV-002951,35.0,2024-09-17,26354.59,invoice_payment,17.0
178,INV-002348,2.0,2024-09-17,26975.96,invoice_payment,11.0
175,INV-000896,29.0,2024-09-17,78972.8,invoice_payment,11.0
93,INV-002176,133.0,2024-09-17,112779.86,invoice_payment,32.0
206,INV-001413,14.0,2024-09-17,40249.26,invoice_payment,8.0
211,INV-006177,133.0,2024-09-18,100691.22,invoice_payment,24.0
108,INV-005071,1.0,2024-09-18,32996.12,invoice_payment,17.0
237,INV-000979,139.0,2024-09-18,5219.08,invoice_payment,21.0
126,INV-003493,13.0,2024-09-18,41626.22,invoice_payment,16.0
385,INV-006022,35.0,2024-09-19,38136.92,invoice_payment,11.0
284,INV-005077,10.0,2024-09-19,8755.9,invoice_payment,4.0
112,INV-007814,6.0,2024-09-19,36109.81,invoice_payment,17.0
14,INV-000342,87.0,2024-09-20,73418.44,invoice_payment,26.0
210,INV-007046,2.0,2024-09-20,28431.55,invoice_payment,11.0
116,INV-004393,41.0,2024-09-21,138306.77,invoice_payment,34.0
380,INV-005068,1.0,2024-09-21,6642.15,invoice_payment,14.0
343,INV-004164,3.0,2024-09-21,31675.09,invoice_payment,16.0
209,INV-005908,6.0,2024-09-21,29686.44,invoice_payment,12.0
240,INV-001132,2.0,2024-09-22,40477.98,invoice_payment,10.0
249,INV-003816,16.0,2024-09-22,8520.8,invoice_payment,10.0
297,INV-006939,10.0,2024-09-23,35703.25,invoice_payment,7.0
236,INV-004166,1.0,2024-09-23,62905.34,invoice_payment,11.0
205,INV-007821,3.0,2024-09-23,12925.79,invoice_payment,14.0
60,INV-004792,40.0,2024-09-23,20029.9,invoice_payment,41.0
204,INV-007137,9.0,2024-09-23,332160.95,invoice_payment,14.0
140,INV-000403,49.0,2024-09-24,45823.99,invoice_payment,20.0
296,INV-001587,3.0,2024-09-24,16898.19,invoice_payment,8.0
479,INV-007892,1.0,2024-09-24,9809.15,invoice_payment,9.0
203,INV-006021,38.0,2024-09-25,42279.68,invoice_payment,31.0
167,INV-000716,5.0,2024-09-25,83114.65,invoice_payment,20.0
105,INV-003751,61.0,2024-09-25,33522.88,invoice_payment,24.0
268,INV-001230,15.0,2024-09-25,35338.41,invoice_payment,11.0
271,INV-001653,1.0,2024-09-25,98809.7,invoice_payment,11.0
162,INV-005499,38.0,2024-09-25,120837.82,invoice_payment,35.0
1,INV-004832,46.0,2024-09-25,37363.36,invoice_payment,47.0
295,INV-003043,28.0,2024-09-26,18007.24,invoice_payment,10.0
180,INV-002880,50.0,2024-09-27,31479.97,invoice_payment,36.0
419,INV-001386,34.0,2024-09-27,131687.8,invoice_payment,17.0
256,INV-000414,7.0,2024-09-27,15885.0,invoice_payment,14.0
495,INV-002936,12.0,2024-09-27,32682.89,invoice_payment,11.0
47,INV-003769,46.0,2024-09-27,48307.11,invoice_payment,46.0
245,INV-002843,7.0,2024-09-28,100496.09,invoice_payment,16.0
338,INV-007065,2.0,2024-09-28,40448.64,invoice_payment,8.0
148,INV-001710,39.0,2024-09-28,406254.86,invoice_payment,39.0
15,INV-002447,124.0,2024-09-28,23487.94,invoice_payment,34.0
71,INV-005998,39.0,2024-09-29,6664.53,invoice_payment,31.0
539,INV-007106,4.0,2024-09-29,5082.65,invoice_payment,8.0
207,INV-004339,136.0,2024-09-29,96447.33,invoice_payment,20.0
186,INV-007985,111.0,2024-09-29,42399.24,invoice_payment,38.0
156,INV-006536,38.0,2024-09-29,34293.39,invoice_payment,24.0
103,INV-003441,130.0,2024-09-29,7095.53,invoice_payment,43.0
278,INV-006667,5.0,2024-09-29,46805.43,invoice_payment,15.0
266,INV-002445,31.0,2024-09-29,39918.83,invoice_payment,15.0
234,INV-000823,39.0,2024-09-29,41973.87,invoice_payment,33.0
33,INV-005179,68.0,2024-09-30,15864.19,invoice_payment,50.0
124,INV-007481,61.0,2024-09-30,24164.59,invoice_payment,28.0
472,INV-002953,6.0,2024-09-30,14413.2,invoice_payment,16.0
561,INV-000367,7.0,2024-09-30,100545.51,invoice_payment,7.0
365,INV-005245,136.0,2024-09-30,102633.24,invoice_payment,24.0
371,INV-001109,58.0,2024-10-01,16085.67,invoice_payment,24.0
146,INV-004840,124.0,2024-10-01,16793.19,invoice_payment,42.0
