customer_id,customer_name,industry,segment,risk_score,dispute_rate_12m,relationship_years,key_account
CUS-0001,Workshop Customer 001,Technology,Standard,0.435,0.0434,1.6,False
CUS-0002,Workshop Customer 002,Government,Standard,0.2971,0.071,4.3,False
CUS-0003,Workshop Customer 003,Retail,Standard,0.0715,0.0285,3.4,False
CUS-0004,Workshop Customer 004,Manufacturing,Standard,0.6507,0.115,8.5,False
CUS-0005,Workshop Customer 005,Manufacturing,Strategic,0.5015,0.0627,12.8,True
CUS-0006,Workshop Customer 006,Manufacturing,Strategic,0.2889,0.0302,2.4,True
CUS-0007,Workshop Customer 007,Retail,Core,0.7866,0.1361,5.4,False
CUS-0008,Workshop Customer 008,Manufacturing,Strategic,0.313,0.0567,9.6,True
CUS-0009,Workshop Customer 009,Government,Core,0.6889,0.1249,1.3,False
CUS-0010,Workshop Customer 010,Retail,Strategic,0.05,0.0006,7.6,True
CUS-0011,Workshop Customer 011,Healthcare,Standard,0.5055,0.0827,3.3,False
CUS-0012,Workshop Customer 012,Manufacturing,Core,0.3635,0.0384,5.0,False
CUS-0013,Workshop Customer 013,Healthcare,Standard,0.2589,0.0587,6.2,False
CUS-0014,Workshop Customer 014,Healthcare,Core,0.6298,0.1709,0.4,False
CUS-0015,Workshop Customer 015,Technology,Standard,0.6314,0.1321,3.3,False
CUS-0016,Workshop Customer 016,Healthcare,Standard,0.6988,0.1303,0.8,False
CUS-0017,Workshop Customer 017,Retail,Standard,0.4678,0.0458,7.0,False
CUS-0018,Workshop Customer 018,Retail,Standard,0.1293,0.0478,4.3,False
CUS-0019,Workshop Customer 019,Manufacturing,Core,0.262,0.0599,4.0,False
CUS-0020,Workshop Customer 020,Technology,Standard,0.36,0.0642,7.8,False
CUS-0021,Workshop Customer 021,Manufacturing,Core,0.224,0.0499,7.9,False
CUS-0022,Workshop Customer 022,Government,Core,0.4602,0.0664,1.4,False
CUS-0023,Workshop Customer 023,Retail,Core,0.8138,0.1349,10.0,False
CUS-0024,Workshop Customer 024,Healthcare,Core,0.0596,0.0,2.2,False
CUS-0025,Workshop Customer 025,Retail,Standard,0.254,0.0545,0.5,False
CUS-0026,Workshop Customer 026,Manufacturing,Core,0.7132,0.1779,2.8,False
CUS-0027,Workshop Customer 027,Manufacturing,Standard,0.6562,0.0916,7.9,False
CUS-0028,Workshop Customer 028,Healthcare,Core,0.3099,0.0746,1.1,False
CUS-0029,Workshop Customer 029,Retail,Core,0.2896,0.0643,1.5,False
CUS-0030,Workshop Customer 030,Government,Core,0.3915,0.0813,1.5,False
CUS-0031,Workshop Customer 031,Retail,Standard,0.5907,0.1276,1.2,False
CUS-0032,Workshop Customer 032,Government,Standard,0.1901,0.0529,5.0,False
CUS-0033,Workshop Customer 033,Retail,Strategic,0.1575,0.0262,3.1,True
CUS-0034,Workshop Customer 034,Retail,Core,0.7837,0.1193,0.5,False
CUS-0035,Workshop Customer 035,Government,Core,0.4098,0.0381,3.1,False
CUS-0036,Workshop Customer 036,Government,Core,0.3282,0.048,13.6,False
CUS-0037,Workshop Customer 037,Technology,Strategic,0.163,0.0829,1.6,True
CUS-0038,Workshop Customer 038,Retail,Strategic,0.0781,0.0376,4.2,True
CUS-0039,Workshop Customer 039,Healthcare,Core,0.4095,0.0953,5.7,False
CUS-0040,Workshop Customer 040,Manufacturing,Standard,0.1888,0.0356,7.5,False
CUS-0041,Workshop Customer 041,Government,Standard,0.5481,0.1077,6.2,False
CUS-0042,Workshop Customer 042,Healthcare,Core,0.7573,0.1416,5.1,False
CUS-0043,Workshop Customer 043,Government,Standard,0.136,0.0445,7.1,False
CUS-0044,Workshop Customer 044,Retail,Core,0.6037,0.104,5.5,False
CUS-0045,Workshop Customer 045,Healthcare,Standard,0.3779,0.0918,2.9,False
