invoice_id,customer_id,invoice_date,due_date,amount_usd,payment_terms_days,status
HIST-000001,CUS-0017,2025-09-11,2025-10-11,14080.06,30,paid
HIST-000002,CUS-0085,2026-05-09,2026-06-08,80990.49,30,paid
HIST-000003,CUS-0122,2026-02-08,2026-03-25,7688.2,45,paid
HIST-000004,CUS-0021,2025-03-13,2025-04-27,68557.9,45,paid
HIST-000005,CUS-0059,2026-01-31,2026-04-01,80117.57,60,paid
HIST-000006,CUS-0030,2026-03-27,2026-05-26,83485.45,60,paid
HIST-000007,CUS-0157,2025-06-10,2025-07-25,95906.1,45,paid
HIST-000008,CUS-0008,2025-06-18,2025-08-17,8064.11,60,paid
HIST-000009,CUS-0008,2025-10-03,2025-11-17,14013.69,45,paid
HIST-000010,CUS-0022,2025-08-04,2025-09-18,86679.07,45,paid
HIST-000011,CUS-0081,2025-12-25,2026-01-24,44441.25,30,paid
HIST-000012,CUS-0049,2026-01-15,2026-02-14,41824.82,30,paid
HIST-000013,CUS-0059,2026-02-21,2026-03-23,39285.76,30,paid
HIST-000014,CUS-0118,2025-04-02,2025-05-17,28112.47,45,paid
HIST-000015,CUS-0008,2025-04-27,2025-05-12,52742.45,15,paid
HIST-000016,CUS-0120,2025-11-17,2025-12-17,12394.04,30,paid
HIST-000017,CUS-0019,2026-01-19,2026-03-05,69313.68,45,paid
HIST-000018,CUS-0101,2025-06-23,2025-07-08,37936.41,15,paid
HIST-000019,CUS-0026,2025-05-05,2025-06-19,31331.89,45,paid
HIST-000020,CUS-0073,2025-04-29,2025-05-29,130724.68,30,paid
HIST-000021,CUS-0081,2025-06-26,2025-07-26,59714.31,30,paid
HIST-000022,CUS-0133,2025-10-15,2025-11-29,19719.65,45,paid
HIST-000023,CUS-0154,2026-06-03,2026-07-18,22509.58,45,paid
HIST-000024,CUS-0078,2025-11-11,2025-12-26,77941.06,45,paid
HIST-000025,CUS-0003,2026-01-09,2026-03-10,24392.87,60,paid
HIST-000026,CUS-0078,2025-12-29,2026-01-28,156717.23,30,paid
HIST-000027,CUS-0141,2025-06-17,2025-08-01,31381.06,45,paid
HIST-000028,CUS-0010,2025-04-17,2025-06-16,35626.44,60,paid
HIST-000029,CUS-0071,2026-05-05,2026-06-04,31691.0,30,paid
HIST-000030,CUS-0106,2025-04-19,2025-05-19,28947.9,30,paid
HIST-000031,CUS-0054,2025-07-22,2025-09-05,17076.91,45,paid
HIST-000032,CUS-0050,2026-05-08,2026-06-07,48518.82,30,paid
HIST-000033,CUS-0107,2025-07-01,2025-08-30,4330.92,60,paid
HIST-000034,CUS-0059,2026-03-14,2026-04-13,20283.18,30,paid
HIST-000035,CUS-0061,2026-02-23,2026-03-25,38728.45,30,paid
HIST-000036,CUS-0060,2026-01-23,2026-02-22,44999.43,30,paid
HIST-000037,CUS-0014,2026-05-21,2026-07-05,57379.22,45,paid
HIST-000038,CUS-0125,2025-06-30,2025-08-14,23449.0,45,paid
HIST-000039,CUS-0078,2026-04-21,2026-06-05,38735.41,45,paid
HIST-000040,CUS-0010,2026-05-27,2026-06-26,26070.24,30,paid
HIST-000041,CUS-0123,2026-05-11,2026-06-10,58442.2,30,paid
HIST-000042,CUS-0149,2025-11-19,2025-12-19,47410.95,30,paid
HIST-000043,CUS-0008,2026-02-05,2026-03-22,81970.48,45,paid
HIST-000044,CUS-0114,2026-01-11,2026-02-10,66014.24,30,paid
HIST-000045,CUS-0105,2025-09-13,2025-10-13,17879.95,30,paid
HIST-000046,CUS-0074,2025-10-21,2025-12-20,155203.86,60,paid
HIST-000047,CUS-0140,2025-05-31,2025-07-15,20256.32,45,paid
HIST-000048,CUS-0025,2026-01-18,2026-02-17,62375.18,30,paid
HIST-000049,CUS-0118,2025-10-06,2025-11-20,91851.48,45,paid
HIST-000050,CUS-0011,2025-10-28,2025-11-12,50308.26,15,paid
HIST-000051,CUS-0141,2025-08-23,2025-09-07,31005.0,15,paid
HIST-000052,CUS-0082,2026-03-27,2026-04-11,33632.02,15,paid
HIST-000053,CUS-0143,2025-07-17,2025-08-31,82558.04,45,paid
HIST-000054,CUS-0071,2026-04-17,2026-06-01,39639.56,45,paid
HIST-000055,CUS-0092,2025-10-09,2025-11-23,14957.39,45,paid
