payment_id,invoice_id,payment_date,amount_usd,days_late
PAY-004136,HIST-004136,2025-04-08,36152.6,-3
PAY-002212,HIST-002212,2025-04-10,50314.89,-5
PAY-000939,HIST-000939,2025-04-10,56502.25,6
PAY-001948,HIST-001948,2025-04-12,23554.89,12
PAY-000067,HIST-000067,2025-04-14,62549.98,7
PAY-003053,HIST-003053,2025-04-16,47750.61,18
PAY-000660,HIST-000660,2025-04-18,413955.13,15
PAY-000504,HIST-000504,2025-04-18,49636.01,-1
PAY-002211,HIST-002211,2025-04-19,15081.52,0
PAY-002636,HIST-002636,2025-04-19,25650.26,-5
PAY-001844,HIST-001844,2025-04-20,33548.13,4
PAY-000597,HIST-000597,2025-04-24,22033.96,8
PAY-003593,HIST-003593,2025-04-24,94427.97,24
PAY-002102,HIST-002102,2025-04-25,25351.31,12
PAY-001588,HIST-001588,2025-04-26,52520.18,8
PAY-003520,HIST-003520,2025-04-26,7600.34,14
PAY-003915,HIST-003915,2025-04-26,11633.6,15
PAY-000183,HIST-000183,2025-04-27,13551.57,10
PAY-002838,HIST-002838,2025-04-27,89428.44,7
PAY-001443,HIST-001443,2025-04-28,55512.62,10
PAY-003604,HIST-003604,2025-04-28,35309.84,16
PAY-002089,HIST-002089,2025-04-28,25205.29,8
PAY-000713,HIST-000713,2025-04-29,26408.71,2
PAY-004022,HIST-004022,2025-04-29,26406.3,-5
PAY-004649,HIST-004649,2025-04-29,14892.55,7
PAY-000794,HIST-000794,2025-04-29,41121.02,15
PAY-003160,HIST-003160,2025-04-30,87003.65,10
PAY-000833,HIST-000833,2025-04-30,34579.74,8
PAY-003203,HIST-003203,2025-05-01,19948.94,19
PAY-000607,HIST-000607,2025-05-02,25425.23,22
PAY-000734,HIST-000734,2025-05-02,37038.39,22
PAY-004324,HIST-004324,2025-05-03,26649.6,20
PAY-002140,HIST-002140,2025-05-03,98820.89,2
PAY-001514,HIST-001514,2025-05-03,37478.7,18
PAY-003802,HIST-003802,2025-05-04,11927.44,19
PAY-000917,HIST-000917,2025-05-04,24307.42,8
PAY-000107,HIST-000107,2025-05-05,102665.64,19
PAY-000541,HIST-000541,2025-05-05,75259.45,19
PAY-004773,HIST-004773,2025-05-05,32995.3,12
PAY-002540,HIST-002540,2025-05-05,17939.84,16
PAY-003935,HIST-003935,2025-05-05,72976.98,23
PAY-003283,HIST-003283,2025-05-05,55513.13,2
PAY-000248,HIST-000248,2025-05-05,21046.93,20
PAY-001265,HIST-001265,2025-05-06,85327.01,5
PAY-002640,HIST-002640,2025-05-06,64347.49,25
PAY-003567,HIST-003567,2025-05-06,22434.35,25
PAY-003085,HIST-003085,2025-05-06,126980.17,7
PAY-000073,HIST-000073,2025-05-06,38690.01,13
PAY-002941,HIST-002941,2025-05-07,57694.04,29
PAY-002815,HIST-002815,2025-05-07,26108.98,8
PAY-001857,HIST-001857,2025-05-07,18989.79,26
PAY-004442,HIST-004442,2025-05-07,69638.79,13
PAY-002013,HIST-002013,2025-05-07,373567.86,27
PAY-004197,HIST-004197,2025-05-07,60056.96,21
PAY-004068,HIST-004068,2025-05-07,19001.84,16
PAY-000689,HIST-000689,2025-05-07,45686.36,11
PAY-001081,HIST-001081,2025-05-08,59881.37,22
PAY-001019,HIST-001019,2025-05-08,93882.02,18
PAY-002073,HIST-002073,2025-05-08,125334.09,20
PAY-004118,HIST-004118,2025-05-08,42586.68,16
PAY-000166,HIST-000166,2025-05-08,74925.44,20
PAY-003295,HIST-003295,2025-05-09,13713.14,35
PAY-002677,HIST-002677,2025-05-09,23005.38,6
PAY-001281,HIST-001281,2025-05-09,23425.12,5
PAY-001425,HIST-001425,2025-05-10,69417.73,25
PAY-000650,HIST-000650,2025-05-10,42168.03,28
PAY-002346,HIST-002346,2025-05-10,42863.7,18
PAY-003419,HIST-003419,2025-05-10,18973.05,15
PAY-004292,HIST-004292,2025-05-10,38527.44,-1
PAY-001024,HIST-001024,2025-05-10,99539.96,30
PAY-002356,HIST-002356,2025-05-10,15537.38,30
PAY-001270,HIST-001270,2025-05-10,27797.38,14
PAY-004759,HIST-004759,2025-05-10,43296.27,14
PAY-001945,HIST-001945,2025-05-10,56730.67,11
PAY-002954,HIST-002954,2025-05-11,21281.11,22
PAY-004058,HIST-004058,2025-05-11,16342.8,30
PAY-001953,HIST-001953,2025-05-11,95296.64,11
PAY-002889,HIST-002889,2025-05-11,29866.85,28
PAY-004176,HIST-004176,2025-05-11,42721.79,9
PAY-003291,HIST-003291,2025-05-11,81548.54,5
PAY-004398,HIST-004398,2025-05-11,25064.81,13
PAY-004650,HIST-004650,2025-05-11,40033.68,25
PAY-000089,HIST-000089,2025-05-11,153404.91,28
PAY-001118,HIST-001118,2025-05-12,121914.35,30
PAY-004770,HIST-004770,2025-05-12,54432.92,28
PAY-002081,HIST-002081,2025-05-12,45837.03,20
PAY-000487,HIST-000487,2025-05-13,83251.51,31
PAY-000892,HIST-000892,2025-05-13,22894.2,38
PAY-003035,HIST-003035,2025-05-13,188741.04,15
PAY-004098,HIST-004098,2025-05-13,49042.86,32
PAY-000973,HIST-000973,2025-05-13,60899.86,25
PAY-000757,HIST-000757,2025-05-13,13978.89,15
PAY-001474,HIST-001474,2025-05-14,220174.35,24
PAY-001313,HIST-001313,2025-05-14,139581.1,23
PAY-004662,HIST-004662,2025-05-14,40072.36,-3
PAY-003320,HIST-003320,2025-05-14,77755.36,15
PAY-000015,HIST-000015,2025-05-14,52742.45,2
PAY-003101,HIST-003101,2025-05-14,30767.87,17
PAY-002274,HIST-002274,2025-05-14,5688.84,10
PAY-000282,HIST-000282,2025-05-15,15329.74,6
PAY-002370,HIST-002370,2025-05-15,82024.61,32
PAY-004518,HIST-004518,2025-05-16,15589.02,3
PAY-003508,HIST-003508,2025-05-16,20496.6,40
PAY-000004,HIST-000004,2025-05-16,68557.9,19
