supplier_payment_id,supplier_id,due_date,amount_usd,extension_eligible,max_extension_days,relationship_risk
SUP-0055,VEND-016,2026-09-01,139952.93,True,7,Medium
SUP-0061,VEND-027,2026-09-01,66205.23,True,3,Medium
SUP-0041,VEND-028,2026-09-02,73896.07,True,10,Medium
SUP-0042,VEND-029,2026-09-02,32874.89,True,7,Low
SUP-0062,VEND-019,2026-09-03,347843.42,True,10,Medium
SUP-0033,VEND-001,2026-09-03,102012.83,False,0,Low
SUP-0011,VEND-024,2026-09-03,100813.38,True,10,High
SUP-0022,VEND-012,2026-09-04,207156.63,True,3,Low
SUP-0036,VEND-023,2026-09-04,79322.77,True,3,Medium
SUP-0017,VEND-001,2026-09-05,270307.64,True,7,Low
SUP-0006,VEND-023,2026-09-05,147273.01,True,10,Low
SUP-0012,VEND-030,2026-09-05,141344.09,True,3,Medium
SUP-0020,VEND-018,2026-09-06,106899.98,True,5,Low
SUP-0053,VEND-026,2026-09-07,200076.66,True,3,Low
SUP-0046,VEND-006,2026-09-07,114358.37,True,5,High
SUP-0015,VEND-027,2026-09-07,85448.35,True,7,Low
SUP-0058,VEND-008,2026-09-08,148688.92,True,3,Medium
SUP-0038,VEND-021,2026-09-08,72180.04,True,10,Medium
SUP-0057,VEND-002,2026-09-08,30983.84,False,0,High
SUP-0059,VEND-028,2026-09-08,24424.12,True,5,Low
SUP-0056,VEND-022,2026-09-09,289338.69,False,0,Medium
SUP-0067,VEND-022,2026-09-09,194104.02,False,0,Low
SUP-0002,VEND-014,2026-09-09,87719.01,False,0,High
SUP-0027,VEND-011,2026-09-09,23391.31,False,0,Low
SUP-0054,VEND-008,2026-09-10,209906.41,True,10,Medium
SUP-0024,VEND-003,2026-09-10,66700.54,True,5,Medium
SUP-0068,VEND-015,2026-09-11,80296.71,True,10,Medium
SUP-0009,VEND-021,2026-09-11,67198.71,True,10,Low
SUP-0025,VEND-015,2026-09-11,30649.75,True,3,High
SUP-0016,VEND-004,2026-09-12,56854.94,True,5,Medium
SUP-0026,VEND-016,2026-09-13,137790.21,False,0,Low
SUP-0007,VEND-012,2026-09-13,73654.11,True,3,High
SUP-0051,VEND-015,2026-09-13,20227.32,False,0,High
SUP-0029,VEND-030,2026-09-15,19881.09,True,5,Medium
SUP-0019,VEND-001,2026-09-16,134321.9,True,3,Medium
SUP-0008,VEND-030,2026-09-16,40185.1,False,0,Low
SUP-0064,VEND-017,2026-09-16,18000.0,False,0,Medium
SUP-0023,VEND-004,2026-09-17,151218.69,False,0,Low
SUP-0021,VEND-016,2026-09-17,98463.52,True,7,Low
SUP-0052,VEND-020,2026-09-17,80752.76,True,7,Low
SUP-0072,VEND-019,2026-09-19,254165.59,False,0,Low
SUP-0035,VEND-016,2026-09-19,71548.28,False,0,Medium
SUP-0005,VEND-011,2026-09-19,67977.0,True,10,Medium
SUP-0031,VEND-016,2026-09-19,63155.36,True,3,Medium
SUP-0069,VEND-026,2026-09-19,47321.0,True,10,Medium
SUP-0014,VEND-028,2026-09-19,37952.73,False,0,Medium
SUP-0071,VEND-025,2026-09-20,101008.3,True,7,High
SUP-0044,VEND-003,2026-09-20,89551.77,True,3,High
SUP-0066,VEND-014,2026-09-20,87410.49,False,0,Medium
SUP-0034,VEND-002,2026-09-20,54860.13,True,10,High
SUP-0037,VEND-020,2026-09-20,20008.81,True,5,Low
SUP-0003,VEND-008,2026-09-21,210254.2,True,7,Medium
SUP-0050,VEND-019,2026-09-21,110535.24,False,0,Medium
SUP-0048,VEND-006,2026-09-22,25187.66,False,0,High
SUP-0045,VEND-022,2026-09-23,48109.08,True,3,Medium
SUP-0028,VEND-008,2026-09-23,38489.07,True,7,Medium
SUP-0070,VEND-011,2026-09-23,29097.33,True,5,Medium
SUP-0063,VEND-021,2026-09-23,24223.11,True,5,Medium
SUP-0039,VEND-028,2026-09-24,64605.54,True,7,Medium
SUP-0018,VEND-025,2026-09-24,55366.09,False,0,Medium
SUP-0065,VEND-020,2026-09-24,37842.2,True,7,Medium
SUP-0004,VEND-007,2026-09-25,234595.43,False,0,Low
SUP-0060,VEND-010,2026-09-25,58271.17,True,7,Low
SUP-0032,VEND-027,2026-09-26,127526.55,False,0,Medium
SUP-0047,VEND-026,2026-09-26,68979.32,False,0,Low
SUP-0043,VEND-005,2026-09-26,18000.0,False,0,Medium
SUP-0010,VEND-017,2026-09-27,223945.51,False,0,Medium
SUP-0001,VEND-018,2026-09-28,182504.83,True,3,Low
SUP-0040,VEND-017,2026-09-28,98488.74,True,5,Medium
SUP-0049,VEND-021,2026-09-28,74660.13,True,5,Medium
SUP-0013,VEND-029,2026-09-30,141537.34,False,0,Low
SUP-0030,VEND-005,2026-09-30,40481.31,False,0,Low
