day,date,payroll,tax,capex,other_operating_outflows,total_operating_outflows
1,2026-09-01,0,0,0,491222.03,491222.03
2,2026-09-02,0,0,0,505631.38,505631.38
3,2026-09-03,0,0,0,480900.28,480900.28
4,2026-09-04,0,0,0,601176.57,601176.57
5,2026-09-05,0,0,0,689503.76,689503.76
6,2026-09-06,0,0,0,542824.91,542824.91
7,2026-09-07,0,0,0,742571.2,742571.2
8,2026-09-08,0,0,0,619838.46,619838.46
9,2026-09-09,0,0,700000,560615.75,1260615.75
10,2026-09-10,0,0,0,674103.1,674103.1
11,2026-09-11,0,0,0,567594.57,567594.57
12,2026-09-12,0,0,0,603387.42,603387.42
13,2026-09-13,0,0,0,643443.61,643443.61
14,2026-09-14,0,0,0,568586.02,568586.02
15,2026-09-15,1600000,0,0,565627.65,2165627.65
16,2026-09-16,0,0,0,511025.67,511025.67
17,2026-09-17,0,0,0,518806.61,518806.61
18,2026-09-18,0,0,0,506905.18,506905.18
19,2026-09-19,0,0,0,555319.05,555319.05
20,2026-09-20,0,1100000,0,382444.47,1482444.47
21,2026-09-21,0,0,0,550226.46,550226.46
22,2026-09-22,0,0,0,742758.39,742758.39
23,2026-09-23,0,0,0,515672.11,515672.11
24,2026-09-24,0,0,700000,670040.51,1370040.51
25,2026-09-25,0,0,0,671210.23,671210.23
26,2026-09-26,0,0,0,614047.8,614047.8
27,2026-09-27,0,0,0,529909.31,529909.31
28,2026-09-28,0,0,0,593525.77,593525.77
29,2026-09-29,0,0,0,496909.84,496909.84
30,2026-09-30,1600000,0,0,486994.67,2086994.67
